0: zero
1: un
2: deux
3: trois
4: quatre
5: cinq
6: six
7: sept
8: huit
9: neuf
10: dix
11: onze
12: douze
13: treize
14: quartoze
15: quinze
16: seize
20: vingt
30: trente
40: quarante
50: cinquante
60: soixante
70: soixante-dix
71: soixante-et-onze
72: soixante-douze
73: soixante-treize
74: soixante-quartoze
75: soixante-quinze
76: soixante-seize
77: soixante-dix-sept
78: soixante-dix-huit
79: soixante-dix-neuf
80: quatre-vingt
90: quatre-vingt-dix
91: quatre-vingt-onze
92: quatre-vingt-douze
93: quatre-vingt-treize
94: quatre-vingt-quartoze
95: quatre-vingt-quinze
96: quatre-vingt-seize
97: quatre-vingt-dix-sept
98: quatre-vingt-dix-huit
99: quatre-vingt-dix-neuf
100: cent
1000: mille
1000000: million
1000000000: milliard
1000000000000: billion
1000000000000000: billiard
1000000000000000000: trillion
1000000000000000000000: trilliard
1000000000000000000000000: quadrillion
1000000000000000000000000000: quadrilliard
1000000000000000000000000000000: quintillion
1000000000000000000000000000000000: quintilliard
1000000000000000000000000000000000000: sextillion
1000000000000000000000000000000000000000: sextilliard
1000000000000000000000000000000000000000000: septillion
1000000000000000000000000000000000000000000000: septilliard
